penguin,feathers,eggs,aquatic,predator,backbone,breathes,two legs,tail,catsize,two
pheasant,feathers,eggs,airborne,backbone,breathes,two legs,tail,two
pike,eggs,aquatic,predator,toothed,backbone,fins,tail,catsize,four
piranha,eggs,aquatic,predator,toothed,backbone,fins,tail,four
pitviper,eggs,predator,toothed,backbone,breathes,venomous,tail,three
platypus,hair,eggs,milk,aquatic,predator,backbone,breathes,four legs,tail,catsize,one
polecat,hair,milk,predator,toothed,backbone,breathes,four legs,tail,catsize,one
pony,hair,milk,toothed,backbone,breathes,four legs,tail,domestic,catsize,one
porpoise,milk,aquatic,predator,toothed,backbone,breathes,fins,tail,catsize,one
puma,hair,milk,predator,toothed,backbone,breathes,four legs,tail,catsize,one
pussycat,hair,milk,predator,toothed,backbone,breathes,four legs,tail,domestic,catsize,one
raccoon,hair,milk,predator,toothed,backbone,breathes,four legs,tail,catsize,one
reindeer,hair,milk,toothed,backbone,breathes,four legs,tail,domestic,catsize,one
rhea,feathers,eggs,predator,backbone,breathes,two legs,tail,catsize,two
scorpion,predator,breathes,venomous,eight legs,tail,seven
seahorse,eggs,aquatic,toothed,backbone,fins,tail,four
seal,hair,milk,aquatic,predator,toothed,backbone,breathes,fins,catsize,one
sealion,hair,milk,aquatic,predator,toothed,backbone,breathes,fins,two legs,tail,catsize,one
seasnake,aquatic,predator,toothed,backbone,venomous,tail,three
seawasp,eggs,aquatic,predator,venomous,seven
skimmer,feathers,eggs,airborne,aquatic,predator,backbone,breathes,two legs,tail,two
skua,feathers,eggs,airborne,aquatic,predator,backbone,breathes,two legs,tail,two
slowworm,eggs,predator,toothed,backbone,breathes,tail,three
slug,eggs,breathes,seven
sole,eggs,aquatic,toothed,backbone,fins,tail,four
sparrow,feathers,eggs,airborne,backbone,breathes,two legs,tail,two
squirrel,hair,milk,toothed,backbone,breathes,two legs,tail,one
starfish,eggs,aquatic,predator,five legs,seven
stingray,eggs,aquatic,predator,toothed,backbone,venomous,fins,tail,catsize,four
swan,feathers,eggs,airborne,aquatic,backbone,breathes,two legs,tail,catsize,two
termite,eggs,breathes,six legs,six
toad,eggs,aquatic,toothed,backbone,breathes,four legs,five
tortoise,eggs,backbone,breathes,four legs,tail,catsize,three
tuatara,eggs,predator,toothed,backbone,breathes,four legs,tail,three
tuna,eggs,aquatic,predator,toothed,backbone,fins,tail,catsize,four
vampire,hair,milk,airborne,toothed,backbone,breathes,two legs,tail,one
vole,hair,milk,toothed,backbone,breathes,four legs,tail,one
vulture,feathers,eggs,airborne,predator,backbone,breathes,two legs,tail,catsize,two
wallaby,hair,milk,toothed,backbone,breathes,two legs,tail,catsize,one
wasp,hair,eggs,airborne,breathes,venomous,six legs,six
wolf,hair,milk,predator,toothed,backbone,breathes,four legs,tail,catsize,one
worm,eggs,breathes,seven
wren,feathers,eggs,airborne,backbone,breathes,two legs,tail,two
